epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.2491425722837448,0.0010000000474974513,1.9327685832977295,0.575984001159668,0.3093922734260559,1.7429158687591553,0.6553629040718079
1,0.2856442928314209,0.0010000000474974513,1.7883878946304321,0.6225298047065735,0.32863402366638184,1.7064939737319946,0.6835587620735168
2,0.3032827079296112,0.0010000000474974513,1.7542405128479004,0.6473950743675232,0.3280624747276306,1.6887145042419434,0.683749258518219
3,0.3181038796901703,0.0010000000474974513,1.726786732673645,0.6536828279495239,0.3379691243171692,1.671973466873169,0.6789864897727966
4,0.32104361057281494,0.0010000000474974513,1.7183917760849,0.662992000579834,0.360259085893631,1.6490483283996582,0.7035625576972961
5,0.3319042921066284,0.0010000000474974513,1.6990883350372314,0.670790433883667,0.3579729497432709,1.6303752660751343,0.7140407562255859
6,0.3324759006500244,0.0010000000474974513,1.6926909685134888,0.6772007346153259,0.3657839596271515,1.6201725006103516,0.7064202427864075
7,0.3483586609363556,0.0010000000474974513,1.6725873947143555,0.6852033138275146,0.36826062202453613,1.6176915168762207,0.7136597633361816
8,0.3519516587257385,0.0010000000474974513,1.6604093313217163,0.6906336545944214,0.37645265460014343,1.5936180353164673,0.7235664129257202
9,0.362526535987854,0.0010000000474974513,1.6438406705856323,0.698962926864624,0.37969136238098145,1.589978575706482,0.729091227054596
10,0.36105668544769287,0.0010000000474974513,1.6404653787612915,0.6983096599578857,0.3871213495731354,1.5651386976242065,0.731567919254303
11,0.3703249990940094,0.0010000000474974513,1.6213434934616089,0.7085579037666321,0.39836159348487854,1.5635751485824585,0.7298533320426941
12,0.37134575843811035,0.0010000000474974513,1.6109060049057007,0.7138249278068542,0.3890264928340912,1.548827052116394,0.7351876497268677
13,0.3800424635410309,0.0010000000474974513,1.6002579927444458,0.7159480452537537,0.3972185254096985,1.5548303127288818,0.7361401915550232
14,0.3836354613304138,0.0010000000474974513,1.5962316989898682,0.7143965363502502,0.3905505836009979,1.5577549934387207,0.7363307476043701
15,0.38800424337387085,0.0010000000474974513,1.5873234272003174,0.7199901938438416,0.4040769636631012,1.5421550273895264,0.7363307476043701
16,0.3918014168739319,0.0010000000474974513,1.5674610137939453,0.7289727330207825,0.4118879735469818,1.5231618881225586,0.7492855787277222
17,0.3968234658241272,0.0010000000474974513,1.57393217086792,0.7291768789291382,0.4118879735469818,1.5224003791809082,0.7454753518104553
18,0.4042544364929199,0.0010000000474974513,1.5565835237503052,0.7336681485176086,0.4158887267112732,1.5303499698638916,0.7452847957611084
19,0.40601012110710144,0.0010000000474974513,1.5430153608322144,0.7360362410545349,0.41436463594436646,1.5110784769058228,0.7468088865280151
