epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.2414257675409317,0.0010000000474974513,1.912665843963623,0.5657357573509216,0.3044389486312866,1.7602792978286743,0.6334539651870728
1,0.2830311954021454,0.0010000000474974513,1.8070257902145386,0.6174260973930359,0.3103448152542114,1.72841215133667,0.6559344530105591
2,0.299730509519577,0.0010000000474974513,1.770503044128418,0.6366977095603943,0.33149170875549316,1.6899110078811646,0.6774623990058899
3,0.30957046151161194,0.0010000000474974513,1.7456294298171997,0.6500081419944763,0.3326347768306732,1.6786173582077026,0.6767003536224365
4,0.32202351093292236,0.0010000000474974513,1.729256272315979,0.6616038084030151,0.3486378490924835,1.657181739807129,0.6875595450401306
5,0.32961782813072205,0.0010000000474974513,1.7171212434768677,0.6686264872550964,0.348447322845459,1.651025652885437,0.6822251677513123
6,0.337007999420166,0.0010000000474974513,1.6966218948364258,0.6768741011619568,0.35644885897636414,1.638625144958496,0.6946085095405579
7,0.3417850732803345,0.0010000000474974513,1.6805381774902344,0.6845500469207764,0.3589255213737488,1.637682318687439,0.6928938627243042
8,0.3546055853366852,0.0010000000474974513,1.6677290201187134,0.6883472204208374,0.36521241068840027,1.623620867729187,0.699371337890625
9,0.35603463649749756,0.0010000000474974513,1.6522916555404663,0.6970439553260803,0.36787959933280945,1.6166032552719116,0.703372061252594
10,0.3648538291454315,0.0010000000474974513,1.6356594562530518,0.703617513179779,0.3686416447162628,1.6105387210845947,0.6999428272247314
11,0.36893680691719055,0.0010000000474974513,1.6296837329864502,0.7042299509048462,0.3857877552509308,1.5927730798721313,0.7106115221977234
12,0.3744896352291107,0.0010000000474974513,1.617525577545166,0.7090478539466858,0.3836921453475952,1.57981276512146,0.7193751335144043
